date,label,high,low,average,volume,numberOfTrades,open,close,stock,momentum_roc,momentum_rsi,momentum_stoch,trend_aroon_ind,trend_macd,trend_macd_signal,trend_macd_diff
2020-08-20 09:30:00,09:30 AM,39.975,39.88,39.915,225,3,39.975,39.88,WBA,0.0,100.0,48.23529,0.0,0.0,0.0,0.0
2020-08-20 09:31:00,09:31 AM,,,,0,0,,,WBA,0.0,100.0,48.27586,4.0,0.00463,0.00093,0.0037
2020-08-20 09:32:00,09:32 AM,39.925,39.925,39.925,200,2,39.925,39.925,WBA,0.0,57.38204,34.48276,4.0,0.00501,0.00174,0.00327
2020-08-20 09:33:00,09:33 AM,40.0,40.0,40.0,100,1,40.0,40.0,WBA,0.0,36.46306,20.0,-8.0,0.00126,0.00165,-0.00038
2020-08-20 09:34:00,09:34 AM,39.92,39.92,39.92,100,1,39.92,39.92,WBA,0.0,20.42522,10.52632,-12.0,-0.00967,-0.00062,-0.00905
2020-08-20 09:35:00,09:35 AM,39.91,39.87,39.874,110,2,39.87,39.91,WBA,0.0,40.8709,29.73684,-12.0,-0.01229,-0.00295,-0.00934
2020-08-20 09:36:00,09:36 AM,39.825,39.78,39.796,163,3,39.825,39.78,WBA,0.0,31.54463,9.21053,-20.0,-0.02043,-0.00645,-0.01399
2020-08-20 09:37:00,09:37 AM,39.87,39.79,39.826,212,4,39.825,39.79,WBA,0.0,29.24148,3.8961,-24.0,-0.02857,-0.01087,-0.0177
2020-08-20 09:38:00,09:38 AM,39.83,39.75,39.798,600,6,39.79,39.83,WBA,0.0,39.67646,21.25,-24.0,-0.03024,-0.01475,-0.01549
2020-08-20 09:39:00,09:39 AM,39.95,39.9,39.916,227,9,39.9,39.91,WBA,0.0,52.11972,43.75,-24.0,-0.02402,-0.0166,-0.00742
2020-08-20 09:40:00,09:40 AM,40.01,39.94,39.994,128,10,39.94,39.94,WBA,0.0,54.90252,50.0,-24.0,-0.01688,-0.01666,-0.00022
2020-08-20 09:41:00,09:41 AM,39.95,39.84,39.943,112,9,39.94,39.84,WBA,0.0,44.35332,26.25,-24.0,-0.01867,-0.01706,-0.00161
2020-08-20 09:42:00,09:42 AM,39.825,39.74,39.797,188,20,39.825,39.81,WBA,-0.30552,41.21154,17.5,-24.0,-0.02265,-0.01818,-0.00447
2020-08-20 09:43:00,09:43 AM,39.8,39.73,39.75,367,11,39.8,39.75,WBA,-0.52513,38.68225,12.19512,-24.0,-0.0279,-0.02012,-0.00778
2020-08-20 09:44:00,09:44 AM,39.78,39.75,39.77,300,3,39.78,39.75,WBA,-0.48561,36.73963,6.34146,-52.0,-0.03362,-0.02282,-0.0108
