date,label,high,low,average,volume,numberOfTrades,open,close,stock,momentum_roc,momentum_rsi,momentum_stoch,trend_aroon_ind,trend_macd,trend_macd_signal,trend_macd_diff
2020-08-21 09:30:00,09:30 AM,39.53,39.51,39.523,2363,8,39.53,39.51,WBA,0.0,100.0,6.25,0.0,0.0,0.0,0.0
2020-08-21 09:31:00,09:31 AM,39.65,39.615,39.633,200,2,39.615,39.65,WBA,0.0,100.0,100.0,4.0,0.01436,0.00287,0.01149
2020-08-21 09:32:00,09:32 AM,39.625,39.625,39.625,200,1,39.625,39.625,WBA,0.0,100.0,61.29032,4.0,0.02545,0.00739,0.01806
2020-08-21 09:33:00,09:33 AM,39.74,39.7,39.718,312,4,39.74,39.7,WBA,0.0,100.0,69.35484,12.0,0.03584,0.01308,0.02276
2020-08-21 09:34:00,09:34 AM,39.645,39.645,39.645,200,1,39.645,39.645,WBA,0.0,55.34716,25.80645,12.0,0.0328,0.01702,0.01578
2020-08-21 09:35:00,09:35 AM,39.57,39.57,39.57,100,1,39.57,39.57,WBA,0.0,48.44466,12.90323,12.0,0.02685,0.01899,0.00787
2020-08-21 09:36:00,09:36 AM,,,,0,0,,,WBA,0.0,32.2181,4.54545,-12.0,0.00993,0.01717,-0.00725
2020-08-21 09:37:00,09:37 AM,,,,0,0,,,WBA,0.0,31.46152,6.52174,-16.0,-0.00425,0.01289,-0.01714
2020-08-21 09:38:00,09:38 AM,,,,0,0,,,WBA,0.0,34.76122,10.86957,-16.0,-0.01371,0.00757,-0.02128
2020-08-21 09:39:00,09:39 AM,,,,0,0,,,WBA,0.0,40.89053,19.56522,-16.0,-0.01778,0.0025,-0.02028
2020-08-21 09:40:00,09:40 AM,39.42,39.315,39.361,170,3,39.42,39.39,WBA,0.0,37.13341,18.0,-16.0,-0.02395,-0.00279,-0.02116
2020-08-21 09:41:00,09:41 AM,39.4,39.4,39.4,60,1,39.4,39.4,WBA,0.0,41.47659,24.0,-16.0,-0.02612,-0.00746,-0.01866
2020-08-21 09:42:00,09:42 AM,39.375,39.375,39.375,2,1,39.375,39.375,WBA,-0.3038,37.73344,16.0,-16.0,-0.03071,-0.01211,-0.01861
2020-08-21 09:43:00,09:43 AM,39.4,39.395,39.399,70,4,39.4,39.395,WBA,-0.73085,39.21046,18.0,-16.0,-0.03317,-0.01632,-0.01685
2020-08-21 09:44:00,09:44 AM,39.375,39.335,39.355,206,4,39.36,39.335,WBA,-0.86946,34.38002,7.0,-44.0,-0.0391,-0.02087,-0.01822
2020-08-21 09:45:00,09:45 AM,39.4,39.365,39.382,195,3,39.365,39.4,WBA,-0.49112,53.85792,42.0,-44.0,-0.02934,-0.02257,-0.00677
2020-08-21 09:46:00,09:46 AM,,,,0,0,,,WBA,-0.02527,57.71949,56.52174,-44.0,-0.01737,-0.02153,0.00416
2020-08-21 09:47:00,09:47 AM,39.605,39.57,39.582,300,3,39.57,39.605,WBA,0.17708,60.56293,65.21739,-44.0,-0.0046,-0.01814,0.01354
2020-08-21 09:48:00,09:48 AM,39.685,39.635,39.66,200,2,39.635,39.685,WBA,0.91417,68.53814,95.65217,16.0,0.01662,-0.01119,0.02781
2020-08-21 09:49:00,09:49 AM,39.755,39.755,39.755,100,1,39.755,39.755,WBA,1.0414,70.38113,98.96907,20.0,0.03625,-0.0017,0.03795
2020-08-21 09:50:00,09:50 AM,39.75,39.75,39.75,100,1,39.75,39.75,WBA,0.9901,70.38113,98.96907,20.0,0.05122,0.00888,0.04233
2020-08-21 09:51:00,09:51 AM,39.77,39.75,39.76,200,2,39.77,39.75,WBA,0.82171,67.4046,93.60825,20.0,0.06028,0.01916,0.04112
2020-08-21 09:52:00,09:52 AM,39.795,39.795,39.795,100,1,39.795,39.795,WBA,1.04087,69.83525,92.59259,32.0,0.07037,0.0294,0.04097
2020-08-21 09:53:00,09:53 AM,39.77,39.77,39.77,100,1,39.77,39.77,WBA,0.96398,69.83525,92.59259,32.0,0.07747,0.03902,0.03845
2020-08-21 09:54:00,09:54 AM,39.79,39.775,39.78,150,2,39.79,39.775,WBA,1.00305,66.70019,87.37864,32.0,0.08016,0.04725,0.03291
2020-08-21 09:55:00,09:55 AM,39.74,39.695,39.725,301,4,39.715,39.74,WBA,0.95202,65.43481,85.43689,32.0,0.08055,0.05391,0.02664
2020-08-21 09:56:00,09:56 AM,39.785,39.785,39.785,100,1,39.785,39.785,WBA,1.15673,67.11448,90.19608,32.0,0.08194,0.05951,0.02242
2020-08-21 09:57:00,09:57 AM,39.815,39.79,39.802,504,5,39.805,39.79,WBA,0.69603,66.41931,89.21569,32.0,0.08169,0.06395,0.01774
2020-08-21 09:58:00,09:58 AM,39.795,39.73,39.733,109,3,39.795,39.73,WBA,0.42973,59.16014,78.0,32.0,0.07617,0.06639,0.00978
2020-08-21 09:59:00,09:59 AM,39.75,39.7,39.723,300,3,39.72,39.75,WBA,0.40404,61.62389,77.14286,32.0,0.07338,0.06779,0.00559
2020-08-21 10:00:00,10 AM,39.79,39.785,39.788,300,3,39.785,39.79,WBA,0.17614,65.37325,89.65517,64.0,0.07434,0.0691,0.00524
2020-08-21 10:01:00,10:01 AM,39.815,39.815,39.815,6,2,39.815,39.815,WBA,0.05028,64.02594,81.81818,64.0,0.07345,0.06997,0.00348
2020-08-21 10:02:00,10:02 AM,39.85,39.82,39.839,154,2,39.82,39.85,WBA,0.15083,66.95928,93.54839,72.0,0.07511,0.071,0.00411
2020-08-21 10:03:00,10:03 AM,39.89,39.845,39.876,401,4,39.855,39.89,WBA,0.31695,69.62646,90.2439,76.0,0.07874,0.07255,0.00619
2020-08-21 10:04:00,10:04 AM,39.89,39.86,39.869,507,7,39.865,39.86,WBA,0.12563,65.36467,75.60976,76.0,0.0783,0.0737,0.0046
2020-08-21 10:05:00,10:05 AM,39.89,39.85,39.88,215,4,39.85,39.89,WBA,0.22613,68.16285,95.12195,84.0,0.08025,0.07501,0.00524
2020-08-21 10:06:00,10:06 AM,39.87,39.82,39.852,500,5,39.855,39.82,WBA,0.11314,59.15592,60.97561,84.0,0.07528,0.07506,0.00022
2020-08-21 10:07:00,10:07 AM,39.845,39.845,39.845,100,1,39.845,39.845,WBA,0.2892,63.59623,90.2439,84.0,0.07531,0.07511,0.0002
2020-08-21 10:08:00,10:08 AM,39.9,39.89,39.895,300,3,39.9,39.89,WBA,0.25132,64.29297,90.69767,84.0,0.07528,0.07515,0.00013
2020-08-21 10:09:00,10:09 AM,39.9,39.9,39.9,200,2,39.9,39.9,WBA,0.31419,65.70664,97.67442,96.0,0.07599,0.07531,0.00068
2020-08-21 10:10:00,10:10 AM,39.875,39.875,39.875,100,1,39.875,39.875,WBA,0.38258,62.00548,84.65116,92.0,0.07345,0.07494,-0.00149
2020-08-21 10:11:00,10:11 AM,39.885,39.83,39.848,479,13,39.885,39.835,WBA,0.17606,55.72738,60.46512,88.0,0.06647,0.07325,-0.00678
2020-08-21 10:12:00,10:12 AM,39.83,39.83,39.83,200,2,39.83,39.83,WBA,0.01256,54.02801,53.48837,44.0,0.05905,0.07041,-0.01136
2020-08-21 10:13:00,10:13 AM,39.8,39.8,39.8,200,4,39.8,39.8,WBA,-0.03769,50.69814,21.21212,44.0,0.05017,0.06636,-0.01619
2020-08-21 10:14:00,10:14 AM,39.785,39.785,39.785,100,1,39.785,39.785,WBA,-0.1757,49.06968,0.0,44.0,0.04144,0.06138,-0.01993
2020-08-21 10:15:00,10:15 AM,,,,0,0,,,WBA,-0.3009,47.96359,10.40462,44.0,0.03334,0.05577,-0.02243
2020-08-21 10:16:00,10:16 AM,39.76,39.76,39.76,100,1,39.76,39.76,WBA,-0.18319,50.02591,20.23121,44.0,0.02796,0.05021,-0.02224
2020-08-21 10:17:00,10:17 AM,39.76,39.74,39.74,203,4,39.76,39.74,WBA,-0.37603,45.77382,0.0,44.0,0.02048,0.04426,-0.02378
2020-08-21 10:18:00,10:18 AM,39.705,39.705,39.705,100,1,39.705,39.705,WBA,-0.30136,41.65203,8.51064,-36.0,0.0112,0.03765,-0.02645
2020-08-21 10:19:00,10:19 AM,39.705,39.7,39.702,300,3,39.7,39.705,WBA,-0.45135,41.65203,8.51064,-36.0,0.00379,0.03088,-0.02708
2020-08-21 10:20:00,10:20 AM,39.69,39.685,39.687,339,5,39.69,39.685,WBA,-0.50138,40.59223,4.25532,-44.0,-0.00285,0.02413,-0.02698
2020-08-21 10:21:00,10:21 AM,39.715,39.695,39.7,500,5,39.695,39.715,WBA,-0.4009,48.98025,29.78723,-44.0,-0.00323,0.01866,-0.02189
2020-08-21 10:22:00,10:22 AM,39.74,39.725,39.733,617,7,39.735,39.73,WBA,-0.38112,46.61745,21.2766,-44.0,-0.00509,0.01391,-0.019
2020-08-21 10:23:00,10:23 AM,39.74,39.735,39.735,217,3,39.74,39.735,WBA,-0.26362,46.01976,19.56522,-44.0,-0.00689,0.00975,-0.01664
2020-08-21 10:24:00,10:24 AM,39.71,39.7,39.706,400,4,39.7,39.705,WBA,-0.26372,44.18934,14.28571,-44.0,-0.00941,0.00592,-0.01533
2020-08-21 10:25:00,10:25 AM,39.705,39.68,39.692,297,3,39.705,39.68,WBA,-0.21868,42.72525,10.90909,-44.0,-0.01224,0.00229,-0.01453
2020-08-21 10:26:00,10:26 AM,39.68,39.68,39.68,100,1,39.68,39.68,WBA,-0.2263,40.55472,3.22581,-68.0,-0.01576,-0.00132,-0.01443
2020-08-21 10:27:00,10:27 AM,39.695,39.645,39.68,401,5,39.695,39.645,WBA,-0.22636,39.35844,16.12903,-72.0,-0.01913,-0.00488,-0.01424
2020-08-21 10:28:00,10:28 AM,39.665,39.66,39.663,298,3,39.665,39.66,WBA,-0.31928,37.00723,3.44828,-76.0,-0.02315,-0.00854,-0.01461
2020-08-21 10:29:00,10:29 AM,39.69,39.68,39.69,203,3,39.68,39.69,WBA,-0.1686,41.34663,19.31034,-76.0,-0.0242,-0.01167,-0.01253
2020-08-21 10:30:00,10:30 AM,,,,0,0,,,WBA,-0.02519,44.3956,31.03448,-76.0,-0.02339,-0.01401,-0.00937
2020-08-21 10:31:00,10:31 AM,39.7,39.7,39.7,100,1,39.7,39.7,WBA,0.0,46.16829,52.38095,-76.0,-0.02169,-0.01555,-0.00614
2020-08-21 10:32:00,10:32 AM,39.72,39.72,39.72,200,5,39.72,39.72,WBA,0.10078,51.19512,80.95238,-76.0,-0.01772,-0.01598,-0.00174
2020-08-21 10:33:00,10:33 AM,,,,0,0,,,WBA,-0.07547,49.53466,71.42857,-76.0,-0.0152,-0.01583,0.00062
2020-08-21 10:34:00,10:34 AM,39.75,39.72,39.732,409,6,39.72,39.74,WBA,0.02517,52.82986,90.47619,-72.0,-0.01146,-0.01495,0.00349
2020-08-21 10:35:00,10:35 AM,39.755,39.74,39.754,108,2,39.755,39.74,WBA,0.03776,52.82986,82.6087,-68.0,-0.0084,-0.01364,0.00524
