Symbol
WBA
MMM
INTC
TRV
IBM
BA
DOW
VZ
AXP
CAT
AMGN
JPM
CSCO
AAPL
PG
CVX
GS
HD
DIS
JNJ
HON
WMT
MCD
KO
MRK
NKE
V
UNH
CRM
MSFT
